,Country,GDP per capita,Life satisfaction
0,Russia,9054.914,6.0
1,Turkey,9437.372,5.6
2,Hungary,12239.893999999998,4.9
3,Poland,12495.334,5.8
4,Slovak Republic,15991.736,6.1
5,Estonia,17288.083,5.6
6,Greece,18064.288,4.8
7,Portugal,19121.592,5.1
8,Slovenia,20732.482,5.7
9,Spain,25864.721,6.5
10,Korea,27195.197,5.8
11,Italy,29866.581,6.0
12,Japan,32485.545,5.9
13,Israel,35343.336,7.4
14,New Zealand,37044.891,7.3
15,France,37675.006,6.5
16,Belgium,40106.632000000005,6.9
17,Germany,40996.511,7.0
18,Finland,41973.988,7.4
19,Canada,43331.961,7.3
20,Netherlands,43603.115,7.3
21,Austria,43724.031,6.9
22,United Kingdom,43770.688,6.8
23,Sweden,49866.266,7.2
24,Iceland,50854.583,7.5
25,Australia,50961.865,7.3
26,Ireland,51350.744000000006,7.0
27,Denmark,52114.165,7.5
28,United States,55805.204000000005,7.2
